B22215487;R1-285;ENERGIAS DE BENASQUE S.L
B43986918;R1-360;ELECTRICA MUNICIPAL DE SANTA COLOMA DE QUERALT, SL
B63695167;R1-365;ELECTRA REDENERGIA SL
B29749199;R1-196;ELECTRICA SERRANIA DE RONDA S.L
A22004675;R1-251;Servicios Urbanos De Cerler, S.A. (Sucsa)
A51004166;R1-030;EMPRESA DE ALUMBRADO ELÉCTRICO DE CEUTA DISTRIBUCIÓN, SAU
B36000917;R1-068;COMPAÑÍA DE ELECTRIFICACION S.L
B15555824;R1-275;ELÉCTRICA DE VALDRIZ, S L
B04299459;R1-276;IGNALUZ JIMÉNEZ DE TORRES, S.L
B25445693;R1-224;DISTRIBUIDORA ELECTRICA MONTOLIU SL
B25483967;R1-351;ELECTRICA SUDANELL SL
B22025282;R1-125;ELECTRICA DE ERISTE SL
B14966469;R1-025;INPECUARIAS POZOBLANCO, S.L.
B14496004;R1-247;INPECUARIAS TORRECAMPO, S.L.
B36120673;R1-080;HIDROELECTRICA DEL ARNEGO, S.L
B15207103;R1-242;CENTRAL ELECTRICA INDUSTRIAL, S.L
B57308538;R1-056;VALL DE SOLLER ENERGIA SLU
B25616970;R1-341;TALARN DISTRIBUCIÓ MUNICIPAL ELÉCTRICA,SLU
B22216725;R1-281;ELECTRO SALLENT DE GÁLLEGO, S.L.
B22216733;R1-289;ELECTRO ESCARRILLA, S.L
B22217350;R1-310;AGRUPACIÓN DISTRIBUIDORA DE ESCUER, S.L.
B62136205;R1-205;ICASA DISTRIBUCION ENERGIA SL
B25428905;R1-314;EMPRESA MUNICIPAL DE DISTRIBUCIÓ D'ENERGIA ELÈCTRICA DE PONTS, SL
B14421390;R1-053;DIELESUR, SL
B40268443;R1-051;JUAN DE FRUTOS GARCIA DISTRIBUCIÓN ELÉCTRICA, S.L.U
B17454091;R1-085;CENTRAL ELECTRICA MITJANS,SL
B04296000;R1-163;DIELEC GUERRERO LORENTE SL
B14466601;R1-109;INPECUARIAS VILLARALTO S.L
B98788003;R1-151;DISTRIBUIDORA ELÉCTRICA ALBATERENSE NUESTRA SEÑORA DE LA LUZ, S.L.U.
A11301645;R1-034;ELECTRICIDAD DE PUERTO REAL S.A
A11355526;R1-021;SUMINISTRADORA ELECTRICA DE CADIZ
A17448358;R1-014;AGRI-ENERGIA ELECTRICA, SA
A22194856;R1-055;ELÉCTRICA DE BARBASTRO, S.A.
B25460494;R1-273;EMPRESA MUNICIPAL ENERGIA ELECTRICA TORRES DE SEGRE SL
B17450305;R1-052;LERSA ELECTRICITAT, S.L
A40029399;R1-143;SERVILIANO GARCÍA S.A
B24319311;R1-029;DISTRIBUIDORA ELÉCTRICA DEL SIL, S.L
B82958919;R1-048;LA PROHIDA DISTRIBUCIÓN ELÉCTRICA, S.L
F22003412;R1-059;GRUPO DE ELECTRIFICACIÓN RURAL DE BINÉFAR Y COMARCA SOC. COOP
A02373090;R1-323;FUERZAS ELÉCTRICAS DE BOGARRA S.A
A33591611;R1-008;HIDROCANTÁBRICO DISTRIBUCIÓN ELÉCTRICA S.A.U
